Drug,ATC Codes
Pegaspargase,L01XX24
Interferon beta-1a,L03AB07
Pegademase,L03AX04
Albumin human,B05AA01
Eptifibatide,B01AC16
Infliximab,L04AB02
Follitropin,"G03GA06, G03GA10, G03GA05"
Vasopressin,No ATC Code
Interferon beta-1b,L03AB08
Interferon alfacon-1,L03AB09
Hyaluronidase (ovine),No ATC Code
Insulin pork,"A10AC03, A10AB03, A10AE03, A10AD03"
Trastuzumab,"L01FD01, L01XY02"
Rituximab,L01FA01
Basiliximab,L04AC02
Muromonab,L04AA02
Digoxin Immune Fab (Ovine),V03AB24
Ibritumomab tiuxetan,V10XX02
Daptomycin,J01XX09
Tositumomab,V10XA53
Pegvisomant,H01AX01
Botulinum toxin type A,M03AX01
Pancrelipase,A09AA02
Streptokinase,"B01AD01, B06AA55"
Alemtuzumab,L04AA34
Alglucerase,A16AB01
Capromab pendetide,V09IB04
Laronidase,A16AB05
Cyclosporine,"L04AD01, S01XA18"
Alefacept,L04AA15
Felypressin,No ATC Code
Urofollitropin,G03GA04
Efalizumab,L04AA21
Choriogonadotropin alfa,G03GA08
Antithymocyte immunoglobulin (rabbit),L04AA04
Filgrastim,L03AA02
Coagulation Factor IX (Recombinant),No ATC Code
Becaplermin,"D03AX06, A01AD08"
Agalsidase beta,A16AB04
Octreotide,H01CB02
Interferon alfa-2b,L03AB05
Abarelix,L02BX01
Oxytocin,"G02AC01, H01BB02"
Natalizumab,L04AA23
Enfuvirtide,J05AX07
Palivizumab,J06BD01
Daclizumab,L04AC01
Bevacizumab,"L01FG01, S01LA08"
Technetium Tc-99m arcitumomab,V09IA06
Pyridoxal phosphate,A11HA06
Cyanocobalamin,"B03BA01, B03AE01, B03BA51"
Tetrahydrofolic acid,No ATC Code
Histidine,No ATC Code
Ademetionine,A16AA02
Pyruvic acid,No ATC Code
Phenylalanine,No ATC Code
Biotin,A11HA05
Choline,No ATC Code
Lysine,"V03AF11, B05XB03"
Arginine,"V03AF11, B05XB01"
Ascorbic acid,"G01AD03, A11GA01, A11GB01, S01XA15"
Spermine,No ATC Code
Aspartic acid,No ATC Code
Ornithine,A05BA06
L-Glutamine,A16AA03
Adenosine phosphate,No ATC Code
alpha-Linolenic acid,No ATC Code
Serine,No ATC Code
Methionine,V03AB26
Tyrosine,No ATC Code
Calcitriol,"D05AX03, A11CC04"
Lutein,No ATC Code
Cystine,No ATC Code
Succinic acid,No ATC Code
Riboflavin,"A11HA04, S01XA26"
N-Acetylglucosamine,No ATC Code
Glutamic acid,A09AB01
Glutathione,V03AB32
Phosphatidyl serine,No ATC Code
Glycine,B05CX03
Calcifediol,"A11CC06, H05BX05"
Pyridoxal,No ATC Code
Creatine,No ATC Code
Leucine,No ATC Code
Tryptophan,N06AX02
Cysteine,No ATC Code
Thiamine,A11DA01
Ergocalciferol,A11CC01
Dihomo-gamma-linolenic acid,No ATC Code
Citrulline,No ATC Code
Threonine,No ATC Code
NADH,No ATC Code
Folic acid,"B03AE02, B03AD04, V04CX02, B03AD01, B03BB51, B03AD03, B03BB01, B03AE01, B03AD05, B03AD02"
Icosapent,No ATC Code
Alanine,No ATC Code
Valine,No ATC Code
Vitamin A,"S01XA02, V04CB01, D10AD02, R01AX02, A11CA01"
Vitamin E,No ATC Code
Pyridoxine,"J04AM08, A11HA02"
Lipoic acid,A16AX01
Isoleucine,No ATC Code
Aspartame,No ATC Code
Cholecalciferol,"M05BB09, M05BX53, M05BB07, M05BB08, A11CC55, M05BB05, A11CC05, M05BB03, M05BB04"
Menadione,B02BA02
ATP,No ATC Code
Proline,No ATC Code
Adenine,No ATC Code
Asparagine,No ATC Code
Pravastatin,"C10AA03, C10BA11, C10BA03, C10BA12, C10BX02"
Fluvoxamine,N06AB08
Valsartan,"C09DX05, C10BX10, C09DA03, C09CA03, C09DX02, C09DX01, C09DB08, C09DB01, C09DX04"
Ramipril,"C09BX03, C10BX04, C09BB05, C09AA05, C10BX18, C10BX17, C09BB07, C09BX05, C10BX06, C09BA05"
Masoprocol,L01XX10
Flunisolide,"R01AD04, R03BA03"
Baclofen,M03BX01
Amphetamine,N06BA01
Pentagastrin,V04CG04
Nicotine,N07BA01
Cevimeline,N07AX03
Lorazepam,"N05BA56, N05BA06"
Esmolol,C07AB09
Bortezomib,L01XG01
Ethchlorvynol,N05CM08
Carbidopa,No ATC Code
Phentermine,"A08AA01, A08AA51"
Indecainide,No ATC Code
Tramadol,"N02AJ16, N02AJ13, N02AJ14, N02AX02"
Vidarabine,"J05AB03, S01AD06"
Betaxolol,"S01ED02, C07AB05, S01ED52"
Fluconazole,"J01RA07, J02AC01, D01AC15"
Troglitazone,A10BG01
Oseltamivir,J05AH02
Erythromycin,"J01FA01, D10AF02, S01AA17, D10AF52"
Hydroxocobalamin,"B03BA53, V03AB33, B03BA03"
Caffeine,"D11AX26, R03DA20, V04CG30, N06BC01"
Succinylcholine,M03AB01
Sildenafil,"G01AE10, G04BE03"
Dofetilide,C01BD04
Pyrimethamine,"P01BF09, P01BD01, P01BD51, P01BF04"
Reserpine,"C02LA51, C02AA02, C02LA01, C02LA71, C02AA52"
Azithromycin,"J01RA07, S01AA26, J01FA10, J01RA16"
Ticlopidine,B01AC05
Trospium,"A03DA06, G04BD09"
Adapalene,"D10AD03, D10AD53"
Midodrine,C01CA17
Remikiren,C09XA01
Pantoprazole,"A02BD04, A02BD11, A02BC02"
Torasemide,"C03CA04, G01AE10"
Citalopram,N06AB04
Eletriptan,N02CC06
Bethanidine,C02CC01
Moxifloxacin,"S01AE07, J01MA14"
Oxyphenonium,"A03AB53, A03AB03"
Nelfinavir,J05AE04
Isoetharine,"R03CC06, R03AC07"
Glimepiride,"A10BD04, A10BB12, A10BD06"
Diflorasone,D07AC10
Indinavir,J05AE02
Gadodiamide,V08CA03
Guanadrel,No ATC Code
Lovastatin,"C10AA02, C10BA01"
Enflurane,N01AB04
Cefotiam,J01DC07
Pregabalin,N02BF02
Temazepam,N05CD07
Methyclothiazide,"C03AA08, C03AB08"
Aminosalicylic acid,"J04AA02, J04AA03, J04AA01"
Reboxetine,N06AX18
Milrinone,C01CE02
Pipobroman,L01AX02
Butabarbital,N05CB01
Nevirapine,"J05AG01, J05AR05, J05AR07"
Oxiconazole,"D01AC11, G01AF17, G01AF20"
Alclometasone,"D07AB10, S01BA10"
Butalbital,N05CB01
Cladribine,"L04AA40, L01BB04"
Ranolazine,C01EB18
Mesalazine,A07EC02
Benzatropine,N04AC01
Ziprasidone,N05AE04
Methysergide,N02CA04
Cabergoline,"N04BC06, G02CB03"
Idoxuridine,"D06BB01, J05AB02, S01AD01"
Dapsone,"J04BA50, J04BA51, D10AX05, J04BA02"
Terconazole,G01AG02
Phenytoin,"N03AB02, N03AB52"
Medrysone,S01BA08
Doxycycline,"J01AA02, A01AB22, J01AA20"
Diethylstilbestrol,"L02AA04, L02AA01, G03CC05, G03CB02"
Lymecycline,"J01AA04, J01AA20"
Clotrimazole,"D01AC01, A01AB18, G01AF02, G01AF20"
Calcium acetate,"V03AE04, A11GB01, V03AE07"
Sulfanilamide,"G01AE10, J01EB06, D06BA05"
Cycloserine,J04AB01
Anagrelide,L01XX35
Carmustine,L01AD01
Sulfisoxazole,"J01EB05, G01AE10, S01AB02"
Metoprolol,"C07FB02, C07FX05, C07FX03, C07FB13, C07AB02, C07BB52, C07CB02, C07BB02"
Crotamiton,No ATC Code
Dicoumarol,B01AA01
Cefmenoxime,"S02AA18, J01DD05, S01AA31"
Ropinirole,N04BC04
Chlorotrianisene,G03CA06
Isradipine,C08CA03
Diatrizoate,V08AA01
Betazole,V04CG02
Topiramate,"A08AA51, N03AX11"
Cefmetazole,J01DC09
Olmesartan,"C09DA08, C09DX03, C09CA08, C09DB02"
Amsacrine,L01XX01
Theophylline,"R03DA54, R03DA74, R03DA20, R03DA04, R03DB04"
Argatroban,B01AE03
Liothyronine,"H03AA03, H03AA02"
Disopyramide,C01BA03
Lidocaine,"S01HA07, D04AB01, R02AD02, C01BB01, S02DA01, N01BB52, C05AD01, N01BB02"
Pamidronic acid,M05BA03
Clemastine,"D04AA14, R06AA54, R06AA04"
Acarbose,"A10BD17, A10BF01"
Venlafaxine,N06AX16
Conjugated estrogens,"G03CA57, G03CC07"
Travoprost,S01EE04
Amcinonide,D07AC11
Atomoxetine,N06BA09
Bleomycin,L01DC01
Chlorambucil,L01AA02
Etomidate,N01AX07
Raltitrexed,L01BA03
Etonogestrel,G03AC08
Morphine,"A07DA52, N02AA51, N02AA01, N02AG01"
Ropivacaine,N01BB09
Bupivacaine,"N01BB01, N01BB59, N01BB51"
Dapiprazole,S01EX02
Penciclovir,"D06BB06, J05AB13"
Tenofovir disoproxil,"J05AR27, J05AF07, J05AR08, J05AR11, J05AR09, J05AR06, J05AR24, J05AR12, J05AR03"
Flucloxacillin,"J01CR50, J01CF05"
Tranexamic acid,B02AA02
Ertapenem,J01DH03
Desogestrel,"G03AC09, G03FB10, G03AB05, G03AA09"
Mitomycin,L01DC03
Talbutal,N05CA07
Bexarotene,L01XF03
Ibutilide,C01BD05
Vindesine,L01CA03
Chlorthalidone,"G01AE10, C03EA06, C03BB04, C03BA04"
Ethoxzolamide,No ATC Code
Pentobarbital,"N05CB01, N05CA01"
Valproic acid,N03AG01
Capreomycin,J04AB30
Zolmitriptan,N02CC03
Acetaminophen,"N02BE71, N02BE01, N02AJ13, N02AJ17, N02BE51, N02AJ06, N02AJ01"
Gefitinib,L01EB01
Codeine,"N02AA79, R05DA04, N02AA59, N02AJ08, N02AJ06, N02AJ07"
Piperacillin,"J01CR50, J01CA12"
Dihydroergotamine,"N02CA51, N02CA01"
Amitriptyline,"N06AA09, N06CA01"
Floxuridine,L01BC09
Tolcapone,N04BX01
Fluorometholone,"D07XB04, D07AB06, S01BA07, S01BB03, C05AA06, D07CB03, S01CB05, S01CA07, D10AA01"
Nitroprusside,C02DD01
Calcium glucoheptonate,A12AA10
Hydromorphone,"N02AA53, N02AA03, N02AG04"
Indomethacin,"S01CC02, M01AB51, S01BC01, M02AA23, M01AB01, C01EB03"
Ethambutol,"J04AK02, J04AM03, J04AM06, J04AM07"
Metformin,"A10BD23, A10BD02, A10BD18, A10BD11, A10BD25, A10BA02, A10BD22, A10BD14, A10BD16, A10BD17, A10BD05, A10BD15, A10BD07, A10BD10, A10BD13, A10BD26, A10BD20, A10BD08, A10BD27, A10BD03"
Ipratropium,"R03BB01, R01AX03, R03AL01, R03AL02"
Methadone,"N07BC02, N02AC52"
Olanzapine,"N05AH53, N05AH03"
Atenolol,"C07CB53, C07AB03, C07FB03, C07DB01, C07BB03, C07CB03"
Nitrofural,"B05CA03, S02AA02, D08AF01, D09AA03, S01AX04, P01CC02"
Pimecrolimus,D11AH02
Omeprazole,"A02BC01, A02BD05, A02BD16, A02BD01"
Pyrazinamide,"J04AK01, J04AM06, J04AM05"
Metixene,N04AA03
Cetirizine,"S01GX12, R06AE07"
Terfenadine,R06AX12
Diltiazem,"C08DB01, C05AE03"
Protriptyline,N06AA11
Aminohippuric acid,V04CH30
Alfuzosin,"G04CA01, G04CA51"
Trimethadione,N03AC02
Nitisinone,A16AX04
Clobazam,N05BA09
Minoxidil,"D11AX01, C02DC01"
Megestrol acetate,"G03FB04, G03DB02, G03FA08, G03AC05, L02AB01, G03AA04, G03AB01"
Tioguanine,L01BB03
Methylergometrine,"G02AC01, G02AB01"
Buclizine,"R06AE51, R06AE01"
Aztreonam,J01DF01
Chlorzoxazone,"M03BB03, M03BB53, M03BB73"
Aminoglutethimide,L02BG01
Mefloquine,"P01BF02, P01BC02"
Sulfadiazine,"J01EE06, J01EC02, G01AE10, J01EE02"
Sapropterin,A16AX07
Vinorelbine,L01CA04
Anidulafungin,J02AX06
Clozapine,N05AH02
Sucralfate,A02BX02
Grepafloxacin,J01MA11
Doxylamine,"R06AA09, R06AA59"
Levonorgestrel,"G03AB03, G03AD01, G03AC03, G03FB09, G03AA07, G03FA11"
Norepinephrine,C01CA03
Cidofovir,J05AB12
Mirtazapine,N06AX11
Meprobamate,"N05BC51, N05CX01, N05BC01"
Thiethylperazine,R06AD03
Timolol,"C07AA06, S01ED51, C07BA06, C07DA06, S01ED01"
Treprostinil,B01AC21
Colestipol,C10AC02
Trihexyphenidyl,N04AA01
Palonosetron,"A04AA55, A04AA05"
Dydrogesterone,"G03FA14, G03DB01, G03FB08"
Mexiletine,C01BB02
Dexrazoxane,V03AF02
Amlodipine,"C09BB13, C09BB04, C10BX18, C07FB12, C09DB05, C09XA53, C10BX03, C09BX04, C09DB07, C09DX06, C09BX01, C10BX11, C09DB02, C10BX09, C09DX01, C10BX19, C09DB01, C09XA54, C10BX07, C09BB03, C07FB07, C09DB06, C07FB13, C09DX08, C08CA01, C09BX03, C09DB04, C09DX03, C08GA02, C08CA51, C09DB09, C10BX14, C09BB07, C09DX07"
Tacrine,N06DA01
Oxyphencyclimine,"A03AA01, A03CA03"
Triamterene,C03DB02
Valrubicin,L01DB09
Procyclidine,N04AA04
Phenylephrine,"S01FB01, R01AB01, C01CA06, R01AA04, S01FB51, R01BA53, S01GA05, S01GA55, R01BA03"
Carbimazole,H03BB01
Digoxin,C01AA05
Sulpiride,N05AL01
Profenamine,N04AA05
Nimodipine,C08CA06
Beclomethasone dipropionate,"D07CC04, R03AL09, R03BA01, D07AC15, R03AK08, R03AK13, R01AD01, A07EA07"
Carisoprodol,"M03BA02, M03BA72, M03BA52"
Progesterone,"G03FA04, G03DA04"
Phenylpropanolamine,"R01BA51, R01BA01"
Sorafenib,L01EX02
Zoledronic acid,"M05BB08, M05BA08"
Griseofulvin,"D01BA01, D01AA08"
Nisoldipine,C08CA07
Eszopiclone,N05CF04
Ceruletide,V04CC04
Alprazolam,N05BA12
Dexbrompheniramine,"R06AB06, R06AB56"
Gentian violet cation,"G01AX09, D01AE02"
Ardeparin,No ATC Code
Loxapine,N05AH01
Remoxipride,N05AL04
Mupirocin,"R01AX06, D06AX09"
Carbamoylcholine,"N07AB01, S01EB02"
Rosiglitazone,"A10BD04, A10BG02, A10BD03"
Pramipexole,N04BC05
Acetohexamide,"G01AE10, A10BB31"
Ampicillin,"J01CR50, J01CA51, J01CA01, S01AA19"
Metocurine iodide,No ATC Code
Phenoxymethylpenicillin,"J01CR50, J01CE10, J01CE02"
Secobarbital,"N05CB01, N05CA06"
Miglustat,A16AX06
Promazine,N05AA03
Spironolactone,C03DA01
Methylphenidate,N06BA04
Methocarbamol,"M03BA73, M03BA03, M03BA53"
Hyoscyamine,"A03BA03, A03CB31"
Zolpidem,N05CF02
Famciclovir,"J05AB09, S01AD07"
Triprolidine,R06AX07
Streptozocin,L01AD04
Carboprost tromethamine,G02AD04
Cefpiramide,J01DD11
Lindane,P03AB02
Trifluridine,"L01BC59, S01AD02"
Prochlorperazine,N05AB04
Cyproheptadine,R06AX02
Nitric Oxide,R07AX01
Bendroflumethiazide,"C03AB01, C03EA13, G01AE10, C03AA01"
Allopurinol,"M04AA01, M04AA51"
Ceftazidime,J01DD02
Cerivastatin,C10AA06
Trimethoprim,"J01EE03, J01EA01, J04AM08, J01EE01, J01EE04, J01EE02, J01EE05, J01EE07"
Gemcitabine,L01BC05
Entecavir,J05AF10
Betamethasone,"R01AD06, D07BC01, S01BA06, S01BB04, S01CB04, H02AB01, C05AA05, S03CA06, D07XC01, D07AC01, A07EA04, S02BA07, R03BA04, S03BA03, S01CA05, D07CC01"
Teniposide,L01CB02
Epirubicin,L01DB03
Chloramphenicol,"D06AX02, S02AA01, D10AF03, S01AA01, G01AA05, J01BA01, S03AA08"
Loracarbef,J01DC08
Lansoprazole,"A02BC03, A02BD02, A02BD07, A02BD09, A02BD10, A02BD03, A02BC53"
Dipivefrin,S01EA02
Droperidol,N05AD08
Levothyroxine,"H03AA01, H03AA51"
Framycetin,"D09AA01, R01AX08, S01AA07"
Clomocycline,J01AA11
Meperidine,"N02AB02, N02AB72, N02AB52, N02AG03"
Loratadine,R06AX13
Cefalotin,J01DB03
Prazosin,"C02LE01, C02CA01"
Imipramine,N06AA02
Acitretin,D05BB02
Verteporfin,S01LA01
Nabumetone,M01AX01
Methscopolamine bromide,No ATC Code
Metharbital,N03AA30
Sodium tetradecyl sulfate,C05BB04
Ketorolac,"M01AB15, S01FB51, S01BC05"
Picrotoxin,No ATC Code
Enoxacin,J01MA04
Quinine,"M09AA72, P01BC01"
Tenoxicam,M01AC02
Dronabinol,A04AD10
Montelukast,"R03DC03, R03DC53"
Fluoxetine,"N06CA03, N06AB03"
Hexylcaine,No ATC Code
Methohexital,"N05CB01, N01AF01, N05CA15"
Chlordiazepoxide,N05BA02
Duloxetine,N06AX21
Chlorpromazine,N05AA01
Rimantadine,J05AC02
Amikacin,"S01AA21, D06AX12, J01GB06, J01RA06"
Lenalidomide,L04AX04
Raloxifene,G03XC01
Celecoxib,"N02AJ16, M01AH01, G01AE10, L01XX33, C08CA51"
Gallamine triethiodide,No ATC Code
Brimonidine,"D11AX21, S01GA07, S01EA05"
Dicloxacillin,"J01CR50, J01CF01"
Nabilone,A04AD11
Pefloxacin,J01MA03
Altretamine,L01XX03
Sotalol,"C07AA07, C07BA07, C07FX02"
Buspirone,N05BE01
Miglitol,A10BF02
Fosinopril,"C09BA09, C09AA09"
Cefotaxime,J01DD01
Entacapone,N04BX02
Zidovudine,"J05AR04, J05AF01, J05AR05, J05AR01"
Darifenacin,G04BD10
Oxycodone,"N02AA56, N02AA05, N02AA55, N02AJ18, N02AJ17, N02AJ19"
Phenindione,B01AA02
Flutamide,L02BB01
Tolmetin,"M01AB03, M02AA21"
Cimetidine,"A02BA51, A02BA01"
Haloperidol,N05AD01
Ritonavir,"J05AP53, J05AR10, J05AE30, J05AE03, J05AR23, J05AR26, J05AP52"
Levallorphan,No ATC Code
Tridihexethyl,A03AB08
Nitazoxanide,P01AX11
Triflupromazine,N05AA05
Dextrothyroxine,C10AX01
Acetyldigitoxin,C01AA01
Vancomycin,"J01XA01, A07AA09, S01AA28"
Aminocaproic acid,B02AA01
Dextromethorphan,"R05DA09, N07XX59"
Cisplatin,L01XA01
Bentoquatam,No ATC Code
Anisotropine methylbromide,No ATC Code
Albendazole,P02CA03
Trandolapril,"C09AA10, C09BB10"
Caspofungin,J02AX04
Carteolol,"S01ED55, S01ED05, C07AA15"
Bentiromide,V04CK03
Alitretinoin,"L01XF02, D11AH04"
Metolazone,"C03EA12, G01AE10, C03BA08"
Tolnaftate,D01AE18
Oxaliplatin,L01XA03
Cinchocaine,"D04AB02, S01HA06, S02DA04, N01BB06, C05AD04"
Lercanidipine,"C09DB08, C09BB02, C08CA13"
Foscarnet,J05AD01
Erlotinib,L01EB02
Cyclophosphamide,L01AA01
Mephenytoin,"N03AB04, N03AB54"
Rofecoxib,M01AH02
Chlormerodrin,No ATC Code
Cefdinir,J01DD15
Guanidine,No ATC Code
Ciprofloxacin,"J01RA11, S03AA07, J01MA02, S02AA15, J01RA10, J01RA12, S01AE03"
Gadoversetamide,V08CA06
Toremifene,L02BA02
Nortriptyline,N06AA10
Vincristine,L01CA02
Benazepril,"C09BB13, C09BA07, C09AA07"
Amoxapine,N06AA17
Fluorouracil,"L01BC52, L01BC02"
Pyridostigmine,N07AA02
Adinazolam,N05BA07
Desoximetasone,"D07AC03, D07XC02"
Azelaic acid,D10AX03
Zafirlukast,R03DC01
Propylthiouracil,H03BA02
Acetohydroxamic acid,G04BX03
Pentostatin,L01XX08
Methoxsalen,"D05BA02, D05AD02"
Piroxicam,"M01AC01, M02AA07, S01BC06"
Lamotrigine,N03AX09
Perflutren,No ATC Code
Hydroxyzine,"N05BB01, N05BB51"
Zanamivir,J05AH01
Bosentan,"G01AE10, C02KX01"
Tigecycline,"J01AA20, J01AA12"
Doxapram,R07AB01
Benzthiazide,G01AE10
Methotrexate,"L04AX03, L01BA01"
Carbamazepine,N03AF01
Cisatracurium,M03AC11
Succimer,No ATC Code
Cephalexin,J01DB01
Cinnarizine,"N07CA52, N07CA02"
Fondaparinux,B01AX05
Vinblastine,L01CA01
Propranolol,"C07FX01, C07AA05, C07BA05"
Atropine,"S01FA01, A03CB03, A03BA01"
Fenoprofen,M01AE04
Fenfluramine,"A08AA02, N03AX26"
Clonidine,"S01EA04, C02LC01, C02AC01, N02CX02, C02LC51"
Sulfamethizole,"J01EB02, B05CA04, G01AE10, S01AB01, D06BA04"
Valaciclovir,J05AB11
Carbenicillin,"J01CR50, J01CA03"
Mazindol,A08AA05
Valdecoxib,"M01AH03, G01AE10"
Lactulose,"A06AD61, A06AD11"
Voriconazole,J02AC03
Levocarnitine,A16AA01
Enalapril,"C09BA02, C09BB06, C09BB02, C09AA02"
Nizatidine,A02BA04
Diclofenac,"S01CC01, S01BC03, M01AB55, M02AA15, M01AB05, D11AX18"
Cinalukast,No ATC Code
Fluticasone propionate,No ATC Code
Lisuride,"G02CB02, N02CA07"
Doxazosin,"C02CA04, G04CA55"
Fluocinolone acetonide,"S01CA10, D07BC02, S02BA08, C05AA10, S01BA15, D07AC04, S02CA05, D07CC02"
Piperazine,P02CB01
Ethosuximide,"N03AD01, N03AD51"
Amiloride,C03DB01
Oxytetracycline,"J01AA06, G01AA07, S01AA04, A01AB25, J01AA56, D06AA03, J01AA20"
Ulobetasol,"D05AX55, D07AC21"
Gadoteridol,V08CA04
Labetalol,"C07BG01, C07CG01, C07AG01"
Thiopental,"N01AF03, N05CB01, N05CA19"
Monobenzone,D11AX13
Linezolid,J01XX08
Ivermectin,"P02CF01, D11AX22"
Medroxyprogesterone acetate,"G03AA08, G03DA02, G03FB06, G03FA12, L02AB02, G03AA17, G03AC06"
Cisapride,A03FA02
Sulindac,M01AB02
Cyclothiazide,"G01AE10, C03AB09, C03AA09"
Nafcillin,"J01CR50, J01CF06"
Chloroquine,"P01BB52, P01BA01"
Ethionamide,J04AD03
Metaraminol,C01CA09
Butorphanol,N02AF01
Bisoprolol,"C07FX04, C07BB07, C07AB07, C09BX05, C09BX02, C09BX04, C07FB07"
Amodiaquine,"P01BF03, P01BA06"
Furazolidone,"G01AX06, P01AB51"
Rifabutin,"J04AB04, A02BD16"
Candoxatril,No ATC Code
Paramethadione,N03AC01
Demeclocycline,"J01AA01, D06AA01, J01AA20"
Imatinib,L01EA01
Triamcinolone,"D07AB09, R01AD11, R03BA06, D07BB03, A01AC01, H02AB08, D07CB01, S01BA05, D07XB02, S02CA04, C05AA12"
Oxandrolone,A14AA08
Nicardipine,C08CA04
Fluphenazine,N05AB02
Testosterone,"G03BA03, G03EA02"
Efavirenz,"J05AR06, J05AG03, J05AR11"
Bacitracin,"J01XX10, D06AX05, R02AB04"
Niacin,"C10AD02, C10AD52, C10BA01, C04AC01"
Clorazepic acid,N05BA05
Guanabenz,No ATC Code
Alendronic acid,"M05BB03, M05BA04, M05BB06, M05BB05"
Clofarabine,L01BB06
Docosanol,D06BB11
Dexmedetomidine,N05CM18
Sulfacetamide,"D10AF06, S01AB04, G01AE10"
Prednisone,"A07EA03, H02AB07"
Clofibrate,C10AB01
Astemizole,R06AX11
Inulin,V04CH01
Butoconazole,"G01AF20, G01AF15"
Adenosine,C01EB10
Simvastatin,"A10BH51, C10AA01, C10BX04, C10BA02, C10BX01, C10BA04"
Pemetrexed,L01BA04
Mebendazole,"P02CA51, P02CA01"
Gonadorelin,"V04CM01, H01CA01"
Dyclonine,"N01BX02, R02AD04"
Nystatin,"D01AA01, G01AA01, A07AA02, G01AA51"
Dextropropoxyphene,"N02AC04, N02AC54, N02AC74"
Mitotane,L01XX23
Stavudine,"J05AF04, J05AR07"
Leucovorin,"V03AF06, V03AF03"
Dyphylline,"R03DA20, R03DB01, R03DA51, R03DA01"
Pentazocine,N02AD01
Magnesium sulfate,"A06AD04, V04CC02, D11AX05, B05XA05, A12CC02"
Latanoprost,"S01EE01, S01EE51"
Estrone,"G03CC04, G03CA07"
Trazodone,N06AX05
Mecamylamine,C02BB01
Sevelamer,V03AE02
Acamprosate,N07BB03
Metaxalone,No ATC Code
Verapamil,"C09BB10, C08DA51, C08DA01"
Trimethobenzamide,R06AA10
Flumethasone,"D07AB03, D07BB01, S02CA02, D07CB05, D07XB01"
Sulfametopyrazine,"G01AE10, J01ED02, P01BF04"
Nilutamide,L02BB02
Nafarelin,H01CA02
Epinephrine,"A01AD01, R03AK01, B02BC09, C01CA24, S01EA01, R01AA14, R03AA01, S01EA51"
Sumatriptan,"N02CC01, G01AE10"
Pirenzepine,A02BX03
Cefixime,"J01DD08, J01RA16, J01RA15"
Chlorpropamide,"G01AE10, A10BB02"
Aprepitant,A04AD12
Galantamine,N06DA04
Tamoxifen,L02BA01
Benzyl benzoate,P03AX01
Isoflurophate,No ATC Code
Losartan,"C09CA01, C09DA01, C09DB06"
Thioridazine,N05AC02
Moricizine,C01BG01
Amphotericin B,"G01AA03, A07AA07, A01AB04, J02AA01"
Warfarin,B01AA03
Midazolam,N05CD08
Tobramycin,"S01AA12, J01GB01"
Trovafloxacin,J01MA13
Pentosan polysulfate,"C05BA04, G04BX15"
Fludrocortisone,"S02CA07, S01CA06, H02AA02, S03CA05"
Mycophenolate mofetil,No ATC Code
Cephaloglycin,No ATC Code
Flurazepam,N05CD01
Moexipril,"C09AA13, C09BA13"
Phentolamine,"V03AB36, C04AB01"
Fluorescein,"S01JA01, S01JA51"
Daunorubicin,"L01DB02, L01XY01"
Furosemide,"C03EB01, C03CA01, G01AE10, C03CB01"
Ergotamine,"N02CA02, N02CA52, N02CA72"
Tizanidine,M03BX02
Nitrofurantoin,"J01XE01, J01XE51"
Nicergoline,C04AE02
Eplerenone,C03DA04
Amprenavir,J05AE05
Icodextrin,No ATC Code
Methazolamide,"G01AE10, S01EC05"
Naltrexone,"N02AA56, N07BB04, A08AA62"
Delavirdine,J05AG02
