Drug,DrugBank ID,ATC Codes,Pathways
Imiglucerase,DB00053,A16AB02,No Pathways
Abciximab,DB00054,B01AC13,Abciximab Action Pathway
Drotrecogin alfa,DB00055,B01AD10,No Pathways
Gemtuzumab ozogamicin,DB00056,L01FX02,No Pathways
Indium In-111 satumomab pendetide,DB00057,V09IB02,No Pathways
Alpha-1-proteinase inhibitor,DB00058,B02AB02,No Pathways
Pegaspargase,DB00059,L01XX24,No Pathways
Interferon beta-1a,DB00060,L03AB07,No Pathways
Pegademase,DB00061,L03AX04,No Pathways
Albumin human,DB00062,B05AA01,No Pathways
Eptifibatide,DB00063,B01AC16,Eptifibatide Action Pathway
Infliximab,DB00065,L04AB02,No Pathways
Follitropin,DB00066,"G03GA06, G03GA10, G03GA05",No Pathways
Vasopressin,DB00067,No ATC Code,No Pathways
Interferon beta-1b,DB00068,L03AB08,No Pathways
Interferon alfacon-1,DB00069,L03AB09,No Pathways
Hyaluronidase (ovine),DB00070,No ATC Code,No Pathways
Insulin pork,DB00071,"A10AC03, A10AB03, A10AE03, A10AD03",No Pathways
Trastuzumab,DB00072,"L01FD01, L01XY02",Trastuzumab Action Pathway
Rituximab,DB00073,L01FA01,No Pathways
Basiliximab,DB00074,L04AC02,No Pathways
Muromonab,DB00075,L04AA02,No Pathways
Digoxin Immune Fab (Ovine),DB00076,V03AB24,No Pathways
Ibritumomab tiuxetan,DB00078,V10XX02,No Pathways
Daptomycin,DB00080,J01XX09,No Pathways
Tositumomab,DB00081,V10XA53,No Pathways
Pegvisomant,DB00082,H01AX01,No Pathways
Botulinum toxin type A,DB00083,M03AX01,No Pathways
Pancrelipase,DB00085,A09AA02,No Pathways
Streptokinase,DB00086,"B01AD01, B06AA55",Streptokinase Action Pathway
Alemtuzumab,DB00087,L04AA34,No Pathways
Alglucerase,DB00088,A16AB01,No Pathways
Capromab pendetide,DB00089,V09IB04,No Pathways
Laronidase,DB00090,A16AB05,No Pathways
Cyclosporine,DB00091,"L04AD01, S01XA18",No Pathways
Alefacept,DB00092,L04AA15,No Pathways
Felypressin,DB00093,No ATC Code,No Pathways
Urofollitropin,DB00094,G03GA04,No Pathways
Efalizumab,DB00095,L04AA21,No Pathways
Choriogonadotropin alfa,DB00097,G03GA08,No Pathways
Antithymocyte immunoglobulin (rabbit),DB00098,L04AA04,No Pathways
Filgrastim,DB00099,L03AA02,No Pathways
Coagulation Factor IX (Recombinant),DB00100,No ATC Code,No Pathways
Becaplermin,DB00102,"D03AX06, A01AD08",No Pathways
Agalsidase beta,DB00103,A16AB04,No Pathways
Octreotide,DB00104,H01CB02,No Pathways
Interferon alfa-2b,DB00105,L03AB05,No Pathways
Abarelix,DB00106,L02BX01,No Pathways
Oxytocin,DB00107,"G02AC01, H01BB02",No Pathways
Natalizumab,DB00108,L04AA23,No Pathways
Enfuvirtide,DB00109,J05AX07,No Pathways
Palivizumab,DB00110,J06BD01,No Pathways
Daclizumab,DB00111,L04AC01,No Pathways
Bevacizumab,DB00112,"L01FG01, S01LA08",Bevacizumab Action Pathway
Technetium Tc-99m arcitumomab,DB00113,V09IA06,No Pathways
Pyridoxal phosphate,DB00114,A11HA06,"Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Glycine and Serine Metabolism, Tyrosine Metabolism, Ammonia Recycling, Catecholamine Biosynthesis, Propanoate Metabolism, Arginine and Proline Metabolism, Taurine and Hypotaurine Metabolism, Porphyrin Metabolism, Selenoamino Acid Metabolism, Histidine Metabolism, Starch and Sucrose Metabolism, Glutamate Metabolism, 2-Methyl-3-hydroxybutryl-CoA Dehydrogenase Deficiency, 3-Methylglutaconic Aciduria Type I, beta-Ketothiolase Deficiency, Cystathionine beta-Synthase Deficiency, Glutaric Aciduria Type I, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Histidinemia, Tyrosinemia Type I, Saccharopinuria/Hyperlysinemia II, Hyperinsulinism-Hyperammonemia Syndrome, Globoid Cell Leukodystrophy, Hyperprolinemia Type II, Hyperprolinemia Type I, Tyrosinemia Type 3 (TYRO3), Disulfiram Action Pathway, Carnitine Synthesis"
Cyanocobalamin,DB00115,"B03BA01, B03AE01, B03BA51",No Pathways
Tetrahydrofolic acid,DB00116,No ATC Code,"Methionine Metabolism, Adenosine Deaminase Deficiency, AICA-Ribosiduria, Molybdenum Cofactor Deficiency, Methionine Adenosyltransferase Deficiency, Non-Ketotic Hyperglycinemia, Sarcosinemia, Azathioprine Action Pathway, Thioguanine Action Pathway, Methotrexate Action Pathway, Xanthinuria Type II, Folate Malabsorption, Hereditary, Glycine and Serine Metabolism, Ammonia Recycling, Histidine Metabolism, Purine Metabolism, Betaine Metabolism, Cystathionine beta-Synthase Deficiency, Histidinemia, Purine Nucleoside Phosphorylase Deficiency, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Adenine Phosphoribosyltransferase Deficiency (APRT), Methylenetetrahydrofolate Reductase Deficiency (MTHFRD), Sarcosine Oncometabolite Pathway, Folate Metabolism, Adenylosuccinate Lyase Deficiency, Dihydropyrimidine Dehydrogenase Deficiency (DHPD), S-Adenosylhomocysteine (SAH) Hydrolase Deficiency"
Histidine,DB00117,No ATC Code,"Azithromycin Action Pathway, Clindamycin Action Pathway, Erythromycin Action Pathway, Kanamycin Action Pathway, Neomycin Action Pathway, Netilmicin Action Pathway, Streptomycin Action Pathway, Clomocycline Action Pathway, Carnosinuria, Carnosinemia, Tobramycin Action Pathway, Rolitetracycline Action Pathway, Ammonia Recycling, Histidine Metabolism, Histidinemia, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Arbekacin Action Pathway, Methylhistidine Metabolism, Troleandomycin Action Pathway, Josamycin Action Pathway, beta-Alanine Metabolism, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway"
Ademetionine,DB00118,A16AA02,"Glycine and Serine Metabolism, Tyrosine Metabolism, Catecholamine Biosynthesis, Arginine and Proline Metabolism, Histidine Metabolism, Betaine Metabolism, Cystathionine beta-Synthase Deficiency, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Histidinemia, Tyrosinemia Type I, Phenytoin (Antiarrhythmic) Action Pathway, Hyperprolinemia Type II, Hyperprolinemia Type I, Mercaptopurine Action Pathway, Disulfiram Action Pathway, Carnitine Synthesis, L-Arginine:Glycine Amidinotransferase Deficiency, Methylhistidine Metabolism, Sarcosine Oncometabolite Pathway, Phosphatidylcholine Biosynthesis PC(14:0/14:0), Phosphatidylcholine Biosynthesis PC(14:0/15:0), Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:0), Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z)), Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z)), Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))"
Pyruvic acid,DB00119,No ATC Code,"Cysteine Metabolism, Glycolysis, Amino Sugar Metabolism, Alanine Metabolism, Dihydropyrimidine Dehydrogenase Deficiency (DHPD), Dimethylglycine Dehydrogenase Deficiency, Pyruvate Carboxylase Deficiency, Homocarnosinosis, Dimethylglycine Dehydrogenase Deficiency, Hyperglycinemia, Non-Ketotic, Glycogenosis, Type VII. Tarui Disease, G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease, Pyruvate Kinase Deficiency, Phosphoenolpyruvate Carboxykinase Deficiency 1 (PEPCK1), Glycogenosis, Type IB, 3-Phosphoglycerate Dehydrogenase Deficiency, Cystinosis, Ocular Nonnephropathic, The Oncogenic Action of Fumarate, The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria, Citrullinemia Type I, Urea Cycle, Glucose-Alanine Cycle, 2-Hydroxyglutric Aciduria (D and L Form), Ornithine Transcarbamylase Deficiency (OTC Deficiency), Non-Ketotic Hyperglycinemia, 4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency, Sarcosinemia, Lactic Acidemia, Primary Hyperoxaluria Type I, Argininemia"
Phenylalanine,DB00120,No ATC Code,"Tyrosinemia Type 3 (TYRO3), Phenylketonuria, Phenylalanine and Tyrosine Metabolism, Tyrosinemia Type 2 (or Richner-Hanhart Syndrome)"
Biotin,DB00121,A11HA05,"Biotin Metabolism, 2-Hydroxyglutric Aciduria (D and L Form), 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Malonic Aciduria, Methylmalonic Aciduria, 4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency, Lactic Acidemia, Primary Hyperoxaluria Type I, Glycogen Storage Disease Type 1A (GSD1A) or Von Gierke Disease, Transfer of Acetyl Groups into Mitochondria, Isobutyryl-CoA Dehydrogenase Deficiency, Congenital Lactic Acidosis, Fumarase Deficiency, Mitochondrial Complex II Deficiency, 2-Ketoglutarate Dehydrogenase Complex Deficiency, Fructose-1,6-diphosphatase Deficiency, Triosephosphate Isomerase, Succinic Semialdehyde Dehydrogenase Deficiency, Warburg Effect, The Oncogenic Action of 2-Hydroxyglutarate, Valine, Leucine, and Isoleucine Degradation, Alanine Metabolism, 3-Methylglutaconic Aciduria Type III, 3-Methylglutaconic Aciduria Type IV, Maple Syrup Urine Disease, Methylmalonic Aciduria Due to Cobalamin-Related Disorders, Propionic Acidemia, 3-Methylcrotonyl-CoA Carboxylase Deficiency Type I, Isovaleric Aciduria, Pyruvate Carboxylase Deficiency"
Choline,DB00122,No ATC Code,"Betaine Metabolism, Cystathionine beta-Synthase Deficiency, Sarcosine Oncometabolite Pathway, Phosphatidylcholine Biosynthesis PC(14:0/14:0), Phosphatidylcholine Biosynthesis PC(14:0/15:0), Phosphatidylcholine Biosynthesis PC(14:0/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(14:0/18:2(9Z,12Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:0), Phosphatidylcholine Biosynthesis PC(14:0/20:1(11Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:2(11Z,14Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:4(5Z,8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(14:0/20:5(5Z,8Z,11Z,14Z,17Z)), Phosphatidylcholine Biosynthesis PC(14:0/22:5(4Z,7Z,10Z,13Z,16Z)), Phosphatidylcholine Biosynthesis PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/14:0), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:0), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/18:3(9Z,12Z,15Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/22:2(13Z,16Z)), Phosphatidylcholine Biosynthesis PC(14:1(9Z)/24:0), Phosphatidylcholine Biosynthesis PC(15:0/14:0), Phosphatidylcholine Biosynthesis PC(15:0/16:0), Phosphatidylcholine Biosynthesis PC(15:0/16:1(9Z)), Phosphatidylcholine Biosynthesis PC(15:0/18:0), Phosphatidylcholine Biosynthesis PC(15:0/20:1(11Z)), Phosphatidylcholine Biosynthesis PC(15:0/20:3(8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(15:0/20:4(5Z,8Z,11Z,14Z)), Phosphatidylcholine Biosynthesis PC(15:0/22:0), Phosphatidylcholine Biosynthesis PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), Phosphatidylcholine Biosynthesis PC(16:0/14:0)"
Lysine,DB00123,"V03AF11, B05XB03","Biotin Metabolism, 2-Aminoadipic 2-Oxoadipic Aciduria, Lysine Degradation, Hyperlysinemia II or Saccharopinuria, Multiple Carboxylase Deficiency, Neonatal or Early Onset Form, Pyridoxine Dependency with Seizures, Biotinidase Deficiency, Glutaric Aciduria Type I, Saccharopinuria/Hyperlysinemia II, Carnitine Synthesis, Hyperlysinemia I, Familial"
Arginine,DB00125,"V03AF11, B05XB01","Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Glycine and Serine Metabolism, Arginine and Proline Metabolism, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Hyperprolinemia Type II, Hyperprolinemia Type I, L-Arginine:Glycine Amidinotransferase Deficiency, Dihydropyrimidine Dehydrogenase Deficiency (DHPD), Dimethylglycine Dehydrogenase Deficiency, Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Dimethylglycine Dehydrogenase Deficiency, Hyperglycinemia, Non-Ketotic, Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency, Hyperornithinemia with Gyrate Atrophy (HOGA), 3-Phosphoglycerate Dehydrogenase Deficiency, Citrullinemia Type I, Urea Cycle, Aspartate Metabolism, Canavan Disease, Hypoacetylaspartia, Ornithine Transcarbamylase Deficiency (OTC Deficiency), Prolidase Deficiency (PD), Prolinemia Type II, Non-Ketotic Hyperglycinemia, Sarcosinemia, Argininemia, Ornithine Aminotransferase Deficiency (OAT Deficiency), Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome], Nitric Oxide Signaling Pathway"
Ascorbic acid,DB00126,"G01AD03, A11GA01, A11GB01, S01XA15","Oxidation of Branched-Chain Fatty Acids, Aromatic L-Aminoacid Decarboxylase Deficiency, The Oncogenic Action of Fumarate, Tyrosine Metabolism, Catecholamine Biosynthesis, Tyrosinemia Type I, Disulfiram Action Pathway, Phytanic Acid Peroxisomal Oxidation, Carnitine Synthesis, The Oncogenic Action of Succinate, Alkaptonuria, Hawkinsinuria, Refsum Disease, Tyrosinemia, Transient, of the Newborn, Tyrosine Hydroxylase Deficiency, Dopamine beta-Hydroxylase Deficiency, Monoamine Oxidase-A Deficiency (MAO-A)"
Spermine,DB00127,No ATC Code,Spermidine and Spermine Biosynthesis
Aspartic acid,DB00128,No ATC Code,"Malate-Aspartate Shuttle, Adenylosuccinate Lyase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Homocarnosinosis, Carnosinuria, Carnosinemia, Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency, Hyperornithinemia with Gyrate Atrophy (HOGA), Xanthinuria Type I, Mitochondrial DNA Depletion Syndrome, Myoadenylate Deaminase Deficiency, Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Tyrosine Metabolism, Ammonia Recycling, Arginine and Proline Metabolism, Purine Metabolism, Glutamate Metabolism, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Purine Nucleoside Phosphorylase Deficiency, Tyrosinemia Type I, Hyperinsulinism-Hyperammonemia Syndrome, Hyperprolinemia Type II, Hyperprolinemia Type I, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Mercaptopurine Action Pathway, Disulfiram Action Pathway, L-Arginine:Glycine Amidinotransferase Deficiency, Adenine Phosphoribosyltransferase Deficiency (APRT)"
Ornithine,DB00129,A05BA06,"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency, Hyperornithinemia with Gyrate Atrophy (HOGA), Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Arginine and Proline Metabolism, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Hyperprolinemia Type II, Hyperprolinemia Type I, L-Arginine:Glycine Amidinotransferase Deficiency, Citrullinemia Type I, Urea Cycle, Ornithine Transcarbamylase Deficiency (OTC Deficiency), Prolidase Deficiency (PD), Prolinemia Type II, Argininemia, Ornithine Aminotransferase Deficiency (OAT Deficiency), Spermidine and Spermine Biosynthesis, Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome]"
L-Glutamine,DB00130,A16AA03,"Amino Sugar Metabolism, Phenylacetate Metabolism, Adenylosuccinate Lyase Deficiency, Xanthine Dehydrogenase Deficiency (Xanthinuria), Homocarnosinosis, Xanthinuria Type I, G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease, Mitochondrial DNA Depletion Syndrome, Myoadenylate Deaminase Deficiency, The Oncogenic Action of L-2-Hydroxyglutarate in Hydroxygluaricaciduria, Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Ammonia Recycling, Pyrimidine Metabolism, Purine Metabolism, Glutamate Metabolism, MNGIE (Mitochondrial Neurogastrointestinal Encephalopathy), Purine Nucleoside Phosphorylase Deficiency, Sialuria or French Type Sialuria, Sialuria or French Type Sialuria, Salla Disease/Infantile Sialic Acid Storage Disease, Hyperinsulinism-Hyperammonemia Syndrome, Lesch-Nyhan Syndrome (LNS), Gout or Kelley-Seegmiller Syndrome, Tay-Sachs Disease, Mercaptopurine Action Pathway, Adenine Phosphoribosyltransferase Deficiency (APRT), Glutaminolysis and Cancer, The Oncogenic Action of D-2-Hydroxyglutarate in Hydroxygluaricaciduria, Citrullinemia Type I"
Adenosine phosphate,DB00131,No ATC Code,"Carbamoyl Phosphate Synthetase Deficiency, Argininosuccinic Aciduria, Glycine and Serine Metabolism, Ammonia Recycling, Propanoate Metabolism, Arginine and Proline Metabolism, Selenoamino Acid Metabolism, Pentose Phosphate Pathway, Histidine Metabolism, Purine Metabolism, Fatty Acid Metabolism, Pyruvate Metabolism, Glutamate Metabolism, Butyrate Metabolism, Thiamine Metabolism, Cystathionine beta-Synthase Deficiency, Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency), Histidinemia, Leigh Syndrome, Purine Nucleoside Phosphorylase Deficiency, Pyruvate Dehydrogenase Complex Deficiency, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency), Hyperinsulinism-Hyperammonemia Syndrome, Hyperprolinemia Type II, Hyperprolinemia Type I"
alpha-Linolenic acid,DB00132,No ATC Code,Alpha Linolenic Acid and Linoleic Acid Metabolism
Serine,DB00133,No ATC Code,"Glycine and Serine Metabolism, Ammonia Recycling, Selenoamino Acid Metabolism, Cystathionine beta-Synthase Deficiency, Globoid Cell Leukodystrophy, Sarcosine Oncometabolite Pathway, Phosphatidylethanolamine Biosynthesis PE(14:0/14:0), Phosphatidylethanolamine Biosynthesis PE(14:0/14:1(9Z)), Phosphatidylethanolamine Biosynthesis PE(14:0/15:0), Phosphatidylethanolamine Biosynthesis PE(14:0/18:1(11Z)), Phosphatidylethanolamine Biosynthesis PE(14:0/18:1(9Z)), Phosphatidylethanolamine Biosynthesis PE(14:0/20:4(8Z,11Z,14Z,17Z)), Phosphatidylethanolamine Biosynthesis PE(14:0/22:1(13Z)), Phosphatidylethanolamine Biosynthesis PE(14:0/22:2(13Z,16Z)), Phosphatidylethanolamine Biosynthesis PE(14:0/24:1(15Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/14:1(9Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/18:1(9Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/18:3(6Z,9Z,12Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/18:3(9Z,12Z,15Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/20:0), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/20:3(8Z,11Z,14Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/20:4(8Z,11Z,14Z,17Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z)), Phosphatidylethanolamine Biosynthesis PE(14:1(9Z)/24:0), Phosphatidylethanolamine Biosynthesis PE(15:0/14:0), Phosphatidylethanolamine Biosynthesis PE(15:0/15:0), Phosphatidylethanolamine Biosynthesis PE(15:0/16:0), Phosphatidylethanolamine Biosynthesis PE(15:0/18:0), Phosphatidylethanolamine Biosynthesis PE(15:0/18:1(11Z)), Phosphatidylethanolamine Biosynthesis PE(15:0/18:1(9Z))"
Methionine,DB00134,V03AB26,"Glycine and Serine Metabolism, Betaine Metabolism, Cystathionine beta-Synthase Deficiency, Clarithromycin Action Pathway, Roxithromycin Action Pathway, Gentamicin Action Pathway, Oxytetracycline Action Pathway, Tetracycline Action Pathway, Arbekacin Action Pathway, Troleandomycin Action Pathway, Josamycin Action Pathway, Sarcosine Oncometabolite Pathway, Methionine Metabolism, Methionine Adenosyltransferase Deficiency, Non-Ketotic Hyperglycinemia, Sarcosinemia, Telithromycin Action Pathway, Amikacin Action Pathway, Spectinomycin Action Pathway, Demeclocycline Action Pathway, Doxycycline Action Pathway, Minocycline Action Pathway, Lymecycline Action Pathway, Spermidine and Spermine Biosynthesis, Tigecycline Action Pathway, Paromomycin Action Pathway, Methacycline Action Pathway, Lincomycin Action Pathway, Chloramphenicol Action Pathway, Dihydropyrimidine Dehydrogenase Deficiency (DHPD)"
Tyrosine,DB00135,No ATC Code,"Aromatic L-Aminoacid Decarboxylase Deficiency, Phenylketonuria, Tyrosine Metabolism, Catecholamine Biosynthesis, Tyrosinemia Type I, Tyrosinemia Type 3 (TYRO3), Disulfiram Action Pathway, Phenylalanine and Tyrosine Metabolism, Alkaptonuria, Hawkinsinuria, Tyrosinemia Type 2 (or Richner-Hanhart Syndrome), Tyrosinemia, Transient, of the Newborn, Tyrosine Hydroxylase Deficiency, Dopamine beta-Hydroxylase Deficiency, Monoamine Oxidase-A Deficiency (MAO-A), Thyroid Hormone Synthesis"
Calcitriol,DB00136,"D05AX03, A11CC04",No Pathways
Lutein,DB00137,No ATC Code,No Pathways
Cystine,DB00138,No ATC Code,No Pathways
Succinic acid,DB00139,No ATC Code,"Ketone Body Metabolism, 2-Hydroxyglutric Aciduria (D and L Form), 3-Hydroxy-3-methylglutaryl-CoA Lyase Deficiency, Methylmalonic Aciduria, Prolidase Deficiency (PD), Prolinemia Type II, 4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency, Ornithine Aminotransferase Deficiency (OAT Deficiency), Refsum Disease, Hyperornithinemia-Hyperammonemia-Homocitrullinuria [HHH-syndrome], Isobutyryl-CoA Dehydrogenase Deficiency, Congenital Lactic Acidosis, Fumarase Deficiency, Mitochondrial Complex II Deficiency, 2-Ketoglutarate Dehydrogenase Complex Deficiency, Succinic Semialdehyde Dehydrogenase Deficiency, Warburg Effect, The Oncogenic Action of 2-Hydroxyglutarate, Oxidation of Branched-Chain Fatty Acids, Valine, Leucine, and Isoleucine Degradation, 3-Methylglutaconic Aciduria Type III, 3-Methylglutaconic Aciduria Type IV, Maple Syrup Urine Disease, Propionic Acidemia, 3-Methylcrotonyl-CoA Carboxylase Deficiency Type I, Isovaleric Aciduria, Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency), Methylmalonate Semialdehyde Dehydrogenase Deficiency, Homocarnosinosis, Creatine Deficiency, Guanidinoacetate Methyltransferase Deficiency"
Riboflavin,DB00140,"A11HA04, S01XA26",Riboflavin Metabolism
N-Acetylglucosamine,DB00141,No ATC Code,"Amino Sugar Metabolism, G(M2)-Gangliosidosis: Variant B, Tay-Sachs Disease, Sialuria or French Type Sialuria, Sialuria or French Type Sialuria, Salla Disease/Infantile Sialic Acid Storage Disease, Tay-Sachs Disease"
